title,avg_rating,voted_by,genre,history,art_and_architecture,nature,adventure,entertainment,health_and_lifestyle,food,industries,religious
Boudhanath Stupa,4.5,8897,['Religious Sites'],True,True,False,False,False,False,False,False,True
Swayambhunath Temple,4.5,6203,['Religious Sites'],True,True,False,False,False,False,False,False,True
Pashupatinath Temple,4.5,4937,['Religious Sites'],True,True,False,False,False,False,False,False,True
Chandragiri Hills,4.5,399,['Mountains'],False,False,True,False,False,False,False,False,False
Kopan Monastery,4.5,787,['Religious Sites'],True,True,False,False,False,False,False,False,True
Thamel,4.0,5687,['Neighborhoods'],False,False,False,False,False,False,False,False,False
Garden of Dreams,4.5,4021,['Gardens'],False,False,False,False,False,False,False,False,False
Namo Buddha (Stupa),4.5,129,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False
Kathmandu Durbar Square,4.0,4711,"['Historic Sites', 'Points of Interest & Landmarks']",True,True,False,False,False,False,False,False,False
Asan,4.5,243,['Flea & Street Markets'],False,False,False,False,True,False,False,False,False
Shivapuri Nagarjun National Park,4.5,135,['National Parks'],False,False,True,False,False,False,False,False,False
Kailashnath Mahadev,4.5,112,['Monuments & Statues'],True,True,False,False,False,False,False,False,True
Dakshinkali Temple,4.5,235,['Religious Sites'],True,True,False,False,False,False,False,False,True
Budhanilkantha,4.5,372,['Religious Sites'],True,True,False,False,False,False,False,False,True
Hanuman Dhoka,4.5,589,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False
The Crematoria,4.0,1468,['Religious Sites'],True,True,False,False,False,False,False,False,True
Kumari Chowk,4.0,785,['Religious Sites'],True,True,False,False,False,False,False,False,True
Narayanhiti Palace Museum,4.0,298,['Speciality Museums'],False,False,False,False,False,False,False,False,False
Babar Mahal Revisted,4.5,90,['Architectural Buildings'],True,True,False,False,False,False,False,False,False
Basantapur Tower,4.5,308,['Lookouts'],True,True,True,False,False,False,False,False,False
Phulchoki,4.5,33,['Mountains'],False,False,True,False,False,False,False,False,False
Budhanilakantha Temple,4.5,130,['Religious Sites'],True,True,False,False,False,False,False,False,True
Pullahari Monastery,4.5,60,['Religious Sites'],True,True,False,False,False,False,False,False,True
National Botanical Gardens,4.0,61,['Gardens'],False,False,False,False,False,False,False,False,False
Jaganath (Krishna) Temple,4.0,139,['Religious Sites'],True,True,False,False,False,False,False,False,True
Indra Chowk,4.0,83,['Historic Walking Areas'],True,True,False,False,False,False,False,False,False
Kathesimbu Stupa,4.5,91,['Religious Sites'],True,True,False,False,False,False,False,False,True
Akash Bhairav Temple,4.5,87,['Religious Sites'],True,True,False,False,False,False,False,False,True
Mandala Street,4.5,46,"['Neighborhoods', 'Points of Interest & Landmarks']",False,False,False,False,False,False,False,False,False
Sankhu Village,4.5,41,"['Points of Interest & Landmarks', 'Historic Walking Areas']",True,True,True,False,False,False,False,False,False
Amideva Buddha Park,4.5,15,['Parks'],False,False,False,False,False,False,False,False,False
Kala Bairav,4.5,156,"['Religious Sites', 'Monuments & Statues']",True,True,False,False,False,False,False,False,True
Vajrayogini Temple,4.5,64,['Religious Sites'],True,True,False,False,False,False,False,False,True
Astrek Climbing Wall,4.5,37,['Sports Complexes'],False,False,False,False,True,False,False,False,False
Templo de Changu Narayan,4.5,58,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False
White Monastery,4.0,92,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
Taudaha Lake,4.0,34,['Bodies of Water'],False,False,True,False,False,False,False,False,False
Shechen Monastery,4.5,11,['Religious Sites'],True,True,False,False,False,False,False,False,True
The National Museum,4.0,90,"['Art Museums', 'History Museums']",True,True,False,False,False,False,False,False,False
Nagarjun Forest Reserve,4.0,39,"['Nature & Wildlife Areas', 'Forests']",False,False,True,True,False,False,False,False,False
Degu Taleju Temple,4.0,91,['Religious Sites'],True,True,False,False,False,False,False,False,True
Cathedral of the Assumption of the Blessed Virgin Mary,5.0,12,"['Religious Sites', 'Churches & Cathedrals']",True,True,False,False,False,False,False,False,True
Seto Machindranath Temple,4.5,59,['Religious Sites'],True,True,False,False,False,False,False,False,True
Nagi Gompa,4.5,15,['Religious Sites'],True,True,False,False,False,False,False,False,True
Casino Royale,3.5,51,['Casinos'],False,False,False,False,True,False,False,False,False
Freak Street (Jhhonchen Tole),3.0,171,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
Aarya Ghat,4.0,18,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
Basantpur Dabali,4.0,14,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False
Taragaon Museum,4.5,10,['History Museums'],True,True,False,False,False,False,False,False,False
Boudha Farmers Market at Utpala Cafe,5.0,15,['Farmers Markets'],False,False,False,False,True,False,True,False,False
Chhango Adventure Canyoning In Nepal,5.0,20,['Sports Camps & Clinics'],False,False,False,True,False,True,False,False,False
Boudha Stupa Thanka Center,4.0,11,['Art Galleries'],True,True,False,False,False,False,False,False,True
Kaiser Library,4.0,40,['Libraries'],True,True,False,False,False,False,False,False,False
The Natural History Museum,4.0,20,['Natural History Museums'],True,True,False,False,False,False,False,False,False
Guhyeshwari Temple,4.0,22,['Religious Sites'],True,True,False,False,False,False,False,False,True
Manakamana Mandir Temple,4.0,21,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False
Durbar Marg Street,3.5,39,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
Tribhuvan Park,4.0,13,['Parks'],False,False,False,False,False,False,False,False,False
Shiva Parvati Temple,4.0,19,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False
Bishal Bazaar,3.5,46,['Shopping Malls'],False,False,False,False,True,False,False,False,False
Annapurna Temple,4.0,18,['Religious Sites'],True,True,False,False,False,False,False,False,True
Maru Ganesh Shrine,4.0,23,['Religious Sites'],True,True,False,False,False,False,False,False,True
Ratna Park,2.5,16,['Parks'],False,False,False,False,False,False,False,False,False
Thahiti Chowk,3.5,18,"['Points of Interest & Landmarks', 'Monuments & Statues']",True,True,True,False,False,False,False,False,False
Nara Devi Temple,4.5,11,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False
Military Museum,3.5,8,"['Military Museums', 'History Museums']",True,True,False,False,False,False,False,False,False
Shanti Spa,5.0,15,['Sports Camps & Clinics'],False,False,False,True,False,True,False,False,False
Gokarneshwor Mahadev Temple,4.5,9,"['Architectural Buildings', 'Religious Sites']",True,True,False,False,False,False,False,False,False
Makhan Tole,4.0,10,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
Kakre Bihar Temple,4.5,2,['Religious Sites'],True,True,False,False,False,False,False,False,True
Vaisha Dev (Toothache Tree),4.0,28,['Religious Sites'],True,True,False,False,False,False,False,False,True
Music Museum of Nepal,5.0,7,"['Art Museums', 'History Museums']",True,True,False,False,False,False,False,False,False
Kathmandu Fun Park,4.0,4,['Amusement & Theme Parks'],False,False,False,False,True,False,False,False,False
Bhimsen Tower,3.5,83,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
Tridevi Temple,4.0,17,"['Architectural Buildings', 'Religious Sites']",True,True,False,False,False,False,False,False,False
himalayan arts gallery pltd,4.5,4,['Art Galleries'],True,True,False,False,False,False,False,False,True
Guru Lhakhang Monastery,4.0,5,['Religious Sites'],True,True,False,False,False,False,False,False,True
Rani Pokhari (Queen's Pond),3.5,41,"['Points of Interest & Landmarks', 'Scenic Walking Areas']",True,True,True,False,False,False,False,False,False
Woodcraft Gallery,5.0,4,['Art Galleries'],True,True,False,False,False,False,False,False,True
Kashthamandap,4.0,112,['Religious Sites'],True,True,False,False,False,False,False,False,True
Namkha Khyung Dzong Rigdin Choling Monastery,5.0,10,['Religious Sites'],True,True,False,False,False,False,False,False,True
Casino Mahjong,3.5,12,['Casinos'],False,False,False,False,True,False,False,False,False
"The Tribhuvan, Mahendra, and Birendra Museums",3.5,24,['Speciality Museums'],False,False,False,False,False,False,False,False,False
Hidden Valley (Khumjung Green Valley),4.5,4,['Valleys'],False,False,True,False,False,False,False,False,False
Kashmiri Mosque,5.0,1,['Religious Sites'],True,True,False,False,False,False,False,False,True
Divine Yoga Studio,5.0,4,['Sports Camps & Clinics'],False,False,False,True,False,True,False,False,False
Aviation Museum,3.5,3,"['Speciality Museums', ""Children's Museums""]",False,False,False,False,False,False,False,False,False
Woodcraft Gallery,5.0,3,['Art Galleries'],True,True,False,False,False,False,False,False,True
Millionaire's Club and Casino,4.0,6,['Casinos'],False,False,False,False,True,False,False,False,False
Nepal Art Council Gallery,5.0,3,['Art Galleries'],True,True,False,False,False,False,False,False,True
Gaddhi Baithak,3.0,13,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False
Casino Rad,3.0,10,['Casinos'],False,False,False,False,True,False,False,False,False
Sundarijal Water Falls,5.0,7,['Waterfalls'],False,False,False,False,False,False,False,False,False
Shiva Mandir Temple,3.5,11,"['Architectural Buildings', 'Religious Sites']",True,True,False,False,False,False,False,False,False
Bagwati Mandir Temple,4.5,6,"['Points of Interest & Landmarks', 'Religious Sites']",True,True,True,False,False,False,False,False,False
Ghanta Ghar Clock Tower,3.5,11,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
Jamchen Lhakhang Monastery,3.5,3,['Religious Sites'],True,True,False,False,False,False,False,False,True
Big Bell,3.5,9,['Points of Interest & Landmarks'],True,True,True,False,False,False,False,False,False
Mrigasthali Deer Park,4.0,5,"['Nature & Wildlife Areas', 'Parks']",False,False,True,True,False,False,False,False,False
Universal Crafts,5.0,3,"['Art Galleries', 'Antique Shops']",True,True,False,False,False,False,False,False,True
Mero Chitra Wears,5.0,3,['Factory Outlets'],False,False,False,False,False,False,False,True,False
Casino Everest,3.5,9,['Casinos'],False,False,False,False,True,False,False,False,False
Maju Dega Mandir Temple,3.0,11,"['Architectural Buildings', 'Religious Sites']",True,True,False,False,False,False,False,False,False
Gauri Gaht,4.0,7,"['Points of Interest & Landmarks', 'Architectural Buildings']",True,True,True,False,False,False,False,False,False
Monasterio Tibetano Boudhanat,4.0,3,['Religious Sites'],True,True,False,False,False,False,False,False,True
Kalikasthan Temple,4.0,1,['Religious Sites'],True,True,False,False,False,False,False,False,True
Kirateshwar Mahadev,4.0,1,['Religious Sites'],True,True,False,False,False,False,False,False,True
Khawalung Monastery,4.5,6,['Religious Sites'],True,True,False,False,False,False,False,False,True
