title,avg_rating,voted_by,genre
Boudhanath Stupa,4.5,8897,Religious Sites
Phewa Tal (Fewa Lake),4.5,2988,Bodies of Water
Sarangkot,4.5,2199,Mountains
Swayambhunath Temple,4.5,6203,Religious Sites
Poon Hill,4.5,1477,Mountains
Peace Temple,4.5,2411,Religious Sites
Pashupatinath Temple,4.5,4937,Religious Sites
Durbar (Central) Square,4.5,987,Points of Interest & Landmarks
Chandragiri Hills,4.5,399,Mountains
Mount Everest,5.0,425,Mountains
Begnas Lake,4.5,552,Bodies of Water
Golden Temple (Hiranya Varna Mahavihar),4.5,351,Religious Sites
Patan Museum,4.5,526,Art Museums
International Mountain Museum,4.0,956,Speciality Museums
Bhaktapur Durbar Square,4.5,1632,Ancient Ruins • Points of Interest & Landmarks
Narayani River,4.5,410,Bodies of Water
Kopan Monastery,4.5,787,Religious Sites
Thamel,4.0,5687,Neighborhoods
Nagarkot Panoramic Hiking Trail,4.5,82,Hiking Trails
Gokyo Lakes,5.0,122,Bodies of Water
Patan Durbar Square,5.0,60,Points of Interest & Landmarks • Historic Walking Areas
Garden of Dreams,4.5,4021,Gardens
Namo Buddha (Stupa),4.5,129,Points of Interest & Landmarks • Religious Sites
Polar Trekking & Expedition  - Day Tours,5.0,175,Parasailing & Paragliding • River Rafting & Tubing
Kathmandu Durbar Square,4.0,4711,Historic Sites • Points of Interest & Landmarks
Chitwan National Park,4.5,555,National Parks • Nature & Wildlife Areas
Gupteswar Gupha,4.0,480,Caverns & Caves
Trisuli River,4.5,29,Bodies of Water
Devi's Fall,3.0,1459,Waterfalls
Gurkha Memorial Museum,4.5,310,History Museums
Muktinath Temple,4.5,134,Religious Sites
Barahi temple,4.0,388,Religious Sites
Maya Devi Temple,4.5,446,Religious Sites
Annapurna Base Camp Trek,5.0,25,Hiking Trails
Annapurna Mountain Range,5.0,537,Mountains • Hiking Trails
Bindhya Basini Temple,4.0,222,Religious Sites
Kala Patthar,5.0,60,Mountains
Asan,4.5,243,Flea & Street Markets
Bishazari Tal,5.0,4,Bodies of Water
Jomsom Muktinath Trek,4.5,56,Hiking Trails
Shivapuri Nagarjun National Park,4.5,135,National Parks
Mahaboudha Temple,4.5,61,Religious Sites
Kailashnath Mahadev,4.5,112,Monuments & Statues
Dakshinkali Temple,4.5,235,Religious Sites
Budhanilkantha,4.5,372,Religious Sites
Krisnhna Mandir Temple (Chayasim Deval),4.5,114,Historic Sites • Religious Sites
Jangchub Choeling Tibetan Monastery,4.5,18,Religious Sites
Nagarkot Nature Trail,4.5,67,Nature & Wildlife Areas • Hiking Trails
Pokhara Lakeside,4.5,47,Points of Interest & Landmarks
Hanuman Dhoka,4.5,589,Points of Interest & Landmarks • Architectural Buildings
Mahendra Cave,3.0,183,Caverns & Caves
Changu Narayan,4.5,497,Religious Sites
The Crematoria,4.0,1468,Religious Sites
Seti River Gourge,3.5,111,Nature & Wildlife Areas
Seti Gandaki (Seti River),4.0,158,Bodies of Water
Bat Cave,3.5,198,Nature & Wildlife Areas • Caverns & Caves
Tiger Residency Resort,4.0,22,Nature & Wildlife Areas
Sherpa Museum,4.5,80,Speciality Museums
Langtang Valley,5.0,52,Valleys
Thrangu Tashi Monastery,4.5,169,Religious Sites
Pathibhara Devi Temple,5.0,8,Religious Sites
Patan Royal Palace,4.5,30,Historic Sites
Janaki Temple,4.5,64,Religious Sites
Kumari Chowk,4.0,785,Religious Sites
Thani Mai Temple,4.5,31,Lookouts • Religious Sites
Sagarmatha National Park Museum,4.5,11,Speciality Museums
Rupa Lake,4.0,43,Bodies of Water
Tushita-Nepal,4.5,16,Mysterious Sites • Religious Sites
Kali Gandaki River,4.5,18,Bodies of Water
Matepani Gumba,4.5,8,Religious Sites
Rudra Varna Mahavihar,4.5,29,Religious Sites
Khumbeshwar Temple,4.5,55,Religious Sites
Annapurna Butterfly Museum,4.0,42,Speciality Museums
Narayanhiti Palace Museum,4.0,298,Speciality Museums
Babar Mahal Revisted,4.5,90,Architectural Buildings
"Pandeli Park, Sarangkot",4.5,11,Parks
Labim Mall,4.5,21,Shopping Malls
Basantapur Tower,4.5,308,Lookouts
Tatopani Hot Spring,3.5,14,Hot Springs & Geysers
The Central Zoo,3.5,88,Zoos
yogconnection,5.0,9,Sports Camps & Clinics
Buddhasubba Temple,4.5,13,Religious Sites
Adam Tribe Organic Farm,5.0,17,Farms
Mangal Bazar,4.0,28,Flea & Street Markets
Phulchoki,4.5,33,Mountains
Kedareshwar Mahadev Mani Temple,4.0,8,Religious Sites
Makwanpur Gadhi,4.5,11,Historic Sites
Dudh Koshi River,5.0,18,Bodies of Water
Machapuchare,5.0,81,Mountains
Mt Ama Dablam,5.0,36,Mountains
Bhimsen Temple,4.0,40,Religious Sites
Klod Fashion Exquisite,5.0,5,Shopping Malls
Manakamana Temple,4.5,145,Religious Sites
Pokhara Museum,4.0,57,History Museums
Kala Pattar,5.0,84,Mountains
BIG Splash,4.0,4,Water Parks
Budhanilakantha Temple,4.5,130,Religious Sites
Pullahari Monastery,4.5,60,Religious Sites
Everest View Point,5.0,18,Lookouts
Khumbu Glacier,5.0,29,Points of Interest & Landmarks • Geologic Formations
Kulekhani Dam,4.5,13,Dams
Shree Gaden Dhargay Ling Monastery,4.0,15,Religious Sites
National Botanical Gardens,4.0,61,Gardens
Muktinath Temple,5.0,23,Religious Sites
Tharu Cultural Museum and Research Center,4.5,15,Speciality Museums • Natural History Museums
Shree Gahawamai Temple,4.5,12,Points of Interest & Landmarks
Kyanjin Gompa,5.0,58,Points of Interest & Landmarks
Chitwan Tharu Village,4.0,203,Points of Interest & Landmarks
Ilam Tea Garden,4.5,16,Nature & Wildlife Areas
World Peace Pagoda,4.5,116,Points of Interest & Landmarks • Architectural Buildings
Koshi Tappu Wildlife Reserve,4.0,13,Nature & Wildlife Areas
Rara Lake,5.0,43,Bodies of Water
Kriayt Social Business,4.5,9,Points of Interest & Landmarks
Jaganath (Krishna) Temple,4.0,139,Religious Sites
Dipang Lake,3.5,11,Bodies of Water
Kafuche Lake,4.0,1,Bodies of Water
Indra Chowk,4.0,83,Historic Walking Areas
Gurunghe Hill,5.0,9,Mountains • Lookouts
Ramgram Stupa,5.0,6,Points of Interest & Landmarks
Kathesimbu Stupa,4.5,91,Religious Sites
Basundhara Park,3.5,3,Parks
Nuwakot Durbar,4.5,39,Historic Sites
Nyatapola Temple,4.5,267,Religious Sites
Whoopee Land Amusement and Water Park,3.5,8,Water Parks
Sun Kosi,5.0,1,Bodies of Water
Dhumba Lake,4.5,11,Bodies of Water
Nagarkot Buddha Peace Park Hiking Trail,4.0,13,Hiking Trails
Nagarkot to Dhulikhel Hiking,4.0,2,Scenic Walking Areas
Taleju Mandir Temple,4.5,18,Points of Interest & Landmarks • Architectural Buildings
Daman,4.5,13,Historic Walking Areas • Biking Trails
The White Gallery,5.0,1,Art Galleries
Mera Peak,4.5,14,Mountains
Akash Bhairav Temple,4.5,87,Religious Sites
Pokhara Trade Mall,2.5,2,Shopping Malls
MidTown Galleria,4.0,1,Shopping Malls
Mandala Street,4.5,46,Neighborhoods • Points of Interest & Landmarks
Bageshwori Temple,4.5,16,Religious Sites
Ghar Gompa,4.5,9,Religious Sites
Memorial to Scott Fischer,4.5,22,Points of Interest & Landmarks • Cemeteries
Sauraha Tharu Culture House,4.0,72,Theaters
Mount Climber Trekking Garment Pvt Ltd,5.0,2,Factory Outlets
Red Cliffs,4.5,10,Caverns & Caves
Tilichol Lake,5.0,22,Bodies of Water
Gosainkunda,4.5,65,Bodies of Water
Miteri Park,3.0,2,Parks
Bagh Bhairab Temple,4.5,24,Points of Interest & Landmarks • Religious Sites
Sankhu Village,4.5,41,Points of Interest & Landmarks • Historic Walking Areas
Bhat Bhateni,4.0,1,Department Stores
Amideva Buddha Park,4.5,15,Parks
Baha Bahi,4.5,19,Religious Sites
Patan Gate,3.5,42,Points of Interest & Landmarks
Kala Bairav,4.5,156,Religious Sites • Monuments & Statues
Vishwanath Mandir Temple,4.0,28,Architectural Buildings • Religious Sites
Vajrayogini Temple,4.5,64,Religious Sites
Kanchenjunga,5.0,15,Mountains
Dolakha Bhimsen Mandir,5.0,7,Religious Sites
Phoksundo Lake,5.0,8,Bodies of Water
Astrek Climbing Wall,4.5,37,Sports Complexes
Old Gurung Museum,4.5,15,Speciality Museums
The Ashokan Stupas,4.0,16,Religious Sites
