title,avg_rating,voted_by,genre
Boudhanath Stupa,4.5,8897,Religious Sites
Swayambhunath Temple,4.5,6203,Religious Sites
Pashupatinath Temple,4.5,4937,Religious Sites
Chandragiri Hills,4.5,399,Mountains
Kopan Monastery,4.5,787,Religious Sites
Thamel,4.0,5687,Neighborhoods
Garden of Dreams,4.5,4021,Gardens
Namo Buddha (Stupa),4.5,129,Points of Interest & Landmarks • Religious Sites
Kathmandu Durbar Square,4.0,4711,Historic Sites • Points of Interest & Landmarks
Asan,4.5,243,Flea & Street Markets
Shivapuri Nagarjun National Park,4.5,135,National Parks
Kailashnath Mahadev,4.5,112,Monuments & Statues
Dakshinkali Temple,4.5,235,Religious Sites
Budhanilkantha,4.5,372,Religious Sites
Hanuman Dhoka,4.5,589,Points of Interest & Landmarks • Architectural Buildings
The Crematoria,4.0,1468,Religious Sites
Kumari Chowk,4.0,785,Religious Sites
Narayanhiti Palace Museum,4.0,298,Speciality Museums
Babar Mahal Revisted,4.5,90,Architectural Buildings
Basantapur Tower,4.5,308,Lookouts
Phulchoki,4.5,33,Mountains
Budhanilakantha Temple,4.5,130,Religious Sites
Pullahari Monastery,4.5,60,Religious Sites
National Botanical Gardens,4.0,61,Gardens
Jaganath (Krishna) Temple,4.0,139,Religious Sites
Indra Chowk,4.0,83,Historic Walking Areas
Kathesimbu Stupa,4.5,91,Religious Sites
Akash Bhairav Temple,4.5,87,Religious Sites
Mandala Street,4.5,46,Neighborhoods • Points of Interest & Landmarks
Sankhu Village,4.5,41,Points of Interest & Landmarks • Historic Walking Areas
Amideva Buddha Park,4.5,15,Parks
Kala Bairav,4.5,156,Religious Sites • Monuments & Statues
Vajrayogini Temple,4.5,64,Religious Sites
Astrek Climbing Wall,4.5,37,Sports Complexes
Templo de Changu Narayan,4.5,58,Points of Interest & Landmarks • Religious Sites
White Monastery,4.0,92,Points of Interest & Landmarks
Taudaha Lake,4.0,34,Bodies of Water
Shechen Monastery,4.5,11,Religious Sites
The National Museum,4.0,90,Art Museums • History Museums
Nagarjun Forest Reserve,4.0,39,Nature & Wildlife Areas • Forests
Degu Taleju Temple,4.0,91,Religious Sites
Cathedral of the Assumption of the Blessed Virgin Mary,5.0,12,Religious Sites • Churches & Cathedrals
Seto Machindranath Temple,4.5,59,Religious Sites
Nagi Gompa,4.5,15,Religious Sites
Casino Royale,3.5,51,Casinos
Freak Street (Jhhonchen Tole),3.0,171,Points of Interest & Landmarks
Aarya Ghat,4.0,18,Points of Interest & Landmarks
Basantpur Dabali,4.0,14,Points of Interest & Landmarks • Architectural Buildings
Taragaon Museum,4.5,10,History Museums
Boudha Farmers Market at Utpala Cafe,5.0,15,Farmers Markets
Chhango Adventure Canyoning In Nepal,5.0,20,Sports Camps & Clinics
Boudha Stupa Thanka Center,4.0,11,Art Galleries
Kaiser Library,4.0,40,Libraries
The Natural History Museum,4.0,20,Natural History Museums
Guhyeshwari Temple,4.0,22,Religious Sites
Manakamana Mandir Temple,4.0,21,Points of Interest & Landmarks • Architectural Buildings
Durbar Marg Street,3.5,39,Points of Interest & Landmarks
Tribhuvan Park,4.0,13,Parks
Shiva Parvati Temple,4.0,19,Points of Interest & Landmarks • Religious Sites
Bishal Bazaar,3.5,46,Shopping Malls
Annapurna Temple,4.0,18,Religious Sites
Maru Ganesh Shrine,4.0,23,Religious Sites
Ratna Park,2.5,16,Parks
Thahiti Chowk,3.5,18,Points of Interest & Landmarks • Monuments & Statues
Nara Devi Temple,4.5,11,Points of Interest & Landmarks • Architectural Buildings
Military Museum,3.5,8,Military Museums • History Museums
Shanti Spa,5.0,15,Sports Camps & Clinics
Gokarneshwor Mahadev Temple,4.5,9,Architectural Buildings • Religious Sites
Makhan Tole,4.0,10,Points of Interest & Landmarks
Kakre Bihar Temple,4.5,2,Religious Sites
Vaisha Dev (Toothache Tree),4.0,28,Religious Sites
Music Museum of Nepal,5.0,7,Art Museums • History Museums
Kathmandu Fun Park,4.0,4,Amusement & Theme Parks
Bhimsen Tower,3.5,83,Points of Interest & Landmarks
Tridevi Temple,4.0,17,Architectural Buildings • Religious Sites
himalayan arts gallery pltd,4.5,4,Art Galleries
Guru Lhakhang Monastery,4.0,5,Religious Sites
Rani Pokhari (Queen's Pond),3.5,41,Points of Interest & Landmarks • Scenic Walking Areas
Woodcraft Gallery,5.0,4,Art Galleries
Kashthamandap,4.0,112,Religious Sites
Namkha Khyung Dzong Rigdin Choling Monastery,5.0,10,Religious Sites
Casino Mahjong,3.5,12,Casinos
"The Tribhuvan, Mahendra, and Birendra Museums",3.5,24,Speciality Museums
Hidden Valley (Khumjung Green Valley),4.5,4,Valleys
Kashmiri Mosque,5.0,1,Religious Sites
Divine Yoga Studio,5.0,4,Sports Camps & Clinics
Aviation Museum,3.5,3,Speciality Museums • Children's Museums
Woodcraft Gallery,5.0,3,Art Galleries
Millionaire's Club and Casino,4.0,6,Casinos
Nepal Art Council Gallery,5.0,3,Art Galleries
Gaddhi Baithak,3.0,13,Points of Interest & Landmarks • Architectural Buildings
Casino Rad,3.0,10,Casinos
Sundarijal Water Falls,5.0,7,Waterfalls
Shiva Mandir Temple,3.5,11,Architectural Buildings • Religious Sites
Bagwati Mandir Temple,4.5,6,Points of Interest & Landmarks • Religious Sites
Ghanta Ghar Clock Tower,3.5,11,Points of Interest & Landmarks
Jamchen Lhakhang Monastery,3.5,3,Religious Sites
Big Bell,3.5,9,Points of Interest & Landmarks
Mrigasthali Deer Park,4.0,5,Nature & Wildlife Areas • Parks
Universal Crafts,5.0,3,Art Galleries • Antique Shops
Mero Chitra Wears,5.0,3,Factory Outlets
Casino Everest,3.5,9,Casinos
Maju Dega Mandir Temple,3.0,11,Architectural Buildings • Religious Sites
Gauri Gaht,4.0,7,Points of Interest & Landmarks • Architectural Buildings
Monasterio Tibetano Boudhanat,4.0,3,Religious Sites
Kalikasthan Temple,4.0,1,Religious Sites
Kirateshwar Mahadev,4.0,1,Religious Sites
Khawalung Monastery,4.5,6,Religious Sites
Vishnu Mandir Temple,4.0,6,Points of Interest & Landmarks • Architectural Buildings
Dolma Treks,5.0,3,Historic Sites • Historic Walking Areas
Chyasin Dega Temple,3.5,5,Religious Sites
Bhadrakali Temple,5.0,8,Religious Sites
The City Museum Kathmandu,4.0,6,Speciality Museums
Bachhareshwari　Mandir Temple,5.0,4,Points of Interest & Landmarks • Architectural Buildings
Blue Moon Curio Shop,5.0,1,Antique Shops
Chabdi Barahi Temple,3.5,3,Points of Interest & Landmarks
Gorakhnath Mandir Temple,3.5,3,Points of Interest & Landmarks • Architectural Buildings
Singha Sattal (Silyan Sattal),3.5,7,Points of Interest & Landmarks • Architectural Buildings
Indoor Sports Arena,5.0,2,Sports Complexes
Mahendreswor Mandir Temple,3.5,9,Architectural Buildings • Religious Sites
Sara Enterprises,5.0,1,Art Galleries
Pharping HydroPower Dam,3.0,1,Dams
Ashok Stupa,3.5,2,Historic Sites • Monuments & Statues
Dirghaman & Ganeshman Chitrakar Art Foundation,4.0,1,Art Galleries
Stone Vishnu Mandir Temple,3.0,6,Points of Interest & Landmarks • Architectural Buildings
Maha Vishnu Mandir Temple,3.5,4,Architectural Buildings • Religious Sites
Rizvi Brothers Paper Mache Gift Shop,5.0,1,Art Galleries
Itum bahal,4.0,1,Points of Interest & Landmarks • Religious Sites
Pandra Shivalaya,3.5,3,Points of Interest & Landmarks • Architectural Buildings
Woodcraft Gallery,5.0,1,Art Galleries
Buddha Nepal Art Gallery,5.0,1,Art Galleries
Aviation Museum,5.0,1,Speciality Museums
Handy-Mandy Craft House,5.0,1,Points of Interest & Landmarks
Karmaraja Mahavihara,3.5,5,Religious Sites
Shree Tanadevi Temple,4.0,3,Religious Sites
Bhimsen Sthan Temple,4.0,1,Religious Sites
Chandragiri Hill,5.0,1,Points of Interest & Landmarks • Lookouts
Tri Chandra Collage,4.0,1,Architectural Buildings
Lokta Paper Craft,1.0,1,Points of Interest & Landmarks
Kotilingeshwor Mahadev Mandir Temple,3.5,3,Architectural Buildings • Religious Sites
Dharmadhaatu Stupa,3.5,2,Religious Sites
Lucky Traders & Exporter,4.0,1,Shopping Malls
Manjushree Temple,2.5,2,Religious Sites
Shree Bhawani Shankar Temple,3.0,1,Religious Sites
Direction Exhibition & Convention Center,4.0,2,Convention Centers
The Charumati Vihara Stupa,4.0,1,Historic Sites • Religious Sites
Brass and Bronze Museum,4.0,1,Art Museums • History Museums
Buddha Park,3.0,1,Parks
Krishna Temple,3.0,1,Religious Sites
Bisnumati River,3.0,1,Bodies of Water
Bijeshwari Temple,3.0,1,Points of Interest & Landmarks • Religious Sites
Shobabaghwati,3.0,1,Points of Interest & Landmarks • Religious Sites
Drugon Jangchu Monastery,3.0,1,Religious Sites
Dhansa Dega,3.0,1,Points of Interest & Landmarks • Religious Sites
Department of Immigration,1.0,3,Government Buildings
Mahadev Mandir Temple,3.0,1,Architectural Buildings • Religious Sites
Ram Chandra Temple,3.0,1,Points of Interest & Landmarks • Religious Sites
Espace de visite,4.0,1,Points of Interest & Landmarks
Manhal Healing,N,0,Sports Camps & Clinics
Nepal Hiking Team,5.0,841,City Tours • Cultural Tours
Nepal Eco Adventure,5.0,1304,Multi-day Tours • Historical & Heritage Tours
Ace the Himalaya,5.0,1366,Multi-day Tours • Cultural Tours
Adventure-Pulse,5.0,232,Multi-day Tours • Eco Tours
Mountain Mart Treks & Expedition,5.0,765,Multi-day Tours • Historical & Heritage Tours
Himalaya Holiday Service,5.0,294,Cultural Tours • Helicopter Tours
Mountain Delights Treks & Expedition,5.0,187,Historical & Heritage Tours • Sightseeing Tours
Nepal Horizon Treks & Expedition,5.0,149,Multi-day Tours • Hiking & Camping Tours
The Great Adventure Treks & Expedition - Private Day Tours,5.0,369,Hiking & Camping Tours • Private Tours
Himalayan Quests - Day Tours,5.0,134,Sightseeing Tours
Incredible Treks,5.0,254,River Rafting & Tubing • Cultural Tours
Magical Nepal,5.0,155,Multi-day Tours • Cultural Tours
Visit Himalaya Treks,5.0,146,Hiking & Camping Tours • Nature & Wildlife Tours
Thai Nepal Travels and Tours,5.0,134,City Tours • Multi-day Tours
Himalayan Friends Trekking - Day Tours,5.0,134,Hiking & Camping Tours • Nature & Wildlife Tours
Mountain Holiday Treks & Expedition,5.0,97,Multi-day Tours • Hiking & Camping Tours
Third Rock Adventures,5.0,226,City Tours • Cultural Tours
Himalayan Car Rental Nepal,5.0,156,Bus Services • Taxis & Shuttles
Nepal Ayurveda Home,5.0,101,Yoga & Pilates • Spas
Dream Heaven Adventure,5.0,123,Cultural Tours • Historical & Heritage Tours
Exciting Nepal Treks and Expedition,5.0,366,Multi-day Tours • Helicopter Tours
A1 Excursion - Private Day Tours,5.0,132,Private Tours
Mosaic Adventure,5.0,588,Multi-day Tours • Walking Tours
Tramping Himalaya,5.0,103,Climbing Tours • Hiking & Camping Tours
Destination Unlimited Treks & Expeditions,5.0,247,City Tours • Multi-day Tours
Pariwar Holidays,5.0,620,Multi-day Tours • Historical & Heritage Tours
Vista Trek,5.0,190,Cultural Tours • Helicopter Tours
